AGENT,MESO1,MESO2,PROBABILITY,INFORMATION
0,0,0,0.000000953674316,1.000000000000526
0,0,1,0.000009536743164,0.805491254957320
0,0,2,0.000042915344238,0.672370041198024
0,0,3,0.000114440917969,0.563296804411867
0,0,4,0.000200271606445,0.470371173577346
0,0,5,0.000240325927734,0.389868100256082
0,0,6,0.000200271606445,0.319617082621290
0,0,7,0.000114440917969,0.258205476515489
0,0,8,0.000042915344238,0.204649742609661
0,0,9,0.000009536743164,0.158234483773962
0,0,10,0.000000953674316,0.118424342391065
0,1,0,0.000008583068848,0.657175860349527
0,1,1,0.000085830688477,0.550493883065027
0,1,2,0.000386238098145,0.459335709174355
0,1,3,0.001029968261719,0.380257365870511
0,1,4,0.001802444458008,0.311215670492717
0,1,5,0.002162933349609,0.250866754259925
0,1,6,0.001802444458008,0.198268638760915
0,1,7,0.001029968261719,0.152733123279802
0,1,8,0.000386238098145,0.113743767984160
0,1,9,0.000085830688477,0.080906953388563
0,1,10,0.000008583068848,0.053921062853147
0,2,0,0.000034332275391,0.448499870297222
0,2,1,0.000343322753906,0.370813031157057
0,2,2,0.001544952392578,0.302958628365095
0,2,3,0.004119873046875,0.243656890295929
0,2,4,0.007209777832031,0.192005028697199
0,2,5,0.008651733398438,0.147340712689459
0,2,6,0.007209777832031,0.109165623282946
0,2,7,0.004119873046875,0.077099471862994
0,2,8,0.001544952392578,0.050850880203489
0,2,9,0.000343322753906,0.030198269335097
0,2,10,0.000034332275391,0.014977057336388
0,3,0,0.000080108642578,0.294843652374282
0,3,1,0.000801086425781,0.236574219616388
0,3,2,0.003604888916016,0.185857671533617
0,3,3,0.009613037109375,0.142056309338609
0,3,4,0.016822814941406,0.104689185608468
0,3,5,0.020187377929688,0.073388866003537
0,3,6,0.016822814941406,0.047873896958888
0,3,7,0.009613037109375,0.027930672779763
0,3,8,0.003604888916016,0.013401271293383
0,3,9,0.000801086425781,0.004175299562874
0,3,10,0.000080108642578,0.000184599945106
0,4,0,0.000120162963867,0.179825370673903
0,4,1,0.001201629638672,0.136879002635341
0,4,2,0.005407333374023,0.100313756551202
0,4,3,0.014419555664062,0.069774601538604
0,4,4,0.025234222412109,0.044989710903120
0,4,5,0.030281066894531,0.025753252028246
0,4,6,0.025234222412109,0.011913828084775
0,4,7,0.014419555664062,0.003366745198293
0,4,8,0.005407333374023,0.000049031042295
0,4,9,0.001201629638672,0.001936578640252
0,4,10,0.000120162963867,0.009043080325773
0,5,0,0.000120162963867,0.096038661182921
0,5,1,0.001201629638672,0.066256162786279
0,5,2,0.005407333374023,0.042197935114358
0,5,3,0.014419555664062,0.023665728363646
0,5,4,0.025234222412109,0.010514543569611
0,5,5,0.030281066894531,0.002645303716499
0,5,6,0.025234222412109,0.000000174630474
0,5,7,0.014419555664062,0.002559953690246
0,5,8,0.005407333374023,0.010343222059525
0,5,9,0.001201629638672,0.023407164868624
0,5,10,0.000120162963867,0.041850151782993
0,6,0,0.000080108642578,0.039498197626489
0,6,1,0.000801086425781,0.021667835922995
0,6,2,0.003604888916016,0.009203245104214
0,6,3,0.009613037109375,0.002010887789883
0,6,4,0.016822814941406,0.000038024836432
0,6,5,0.020187377929688,0.003270343973791
0,6,6,0.016822814941406,0.011731328744139
0,6,7,0.009613037109375,0.025483296734550
0,6,8,0.003604888916016,0.044630224394184
0,6,9,0.000801086425781,0.069322689516989
0,6,10,0.000080108642578,0.099765551854135
0,7,0,0.000034332275391,0.007979771411687
0,7,1,0.000343322753906,0.001463420745450
0,7,2,0.001544952392578,0.000162586210227
0,7,3,0.004119873046875,0.004067835462687
0,7,4,0.007209777832031,0.013207571573416
0,7,5,0.008651733398438,0.027649291232387
0,7,6,0.007209777832031,0.047502659235036
0,7,7,0.004119873046875,0.072924762159703
0,7,8,0.001544952392578,0.104128208144576
0,7,9,0.000343322753906,0.141393212589677
0,7,10,0.000034332275391,0.185085610940535
0,8,0,0.000008583068848,0.000373873728462
0,8,1,0.000085830688477,0.004952524838593
0,8,2,0.000386238098145,0.014772133221346
0,8,3,0.001029968261719,0.029905425435229
0,8,4,0.001802444458008,0.050467841310569
0,8,5,0.002162933349609,0.076623109719509
0,8,6,0.001802444458008,0.108591786095087
0,8,7,0.001029968261719,0.146663971833314
0,8,8,0.000386238098145,0.191218298036899
0,8,9,0.000085830688477,0.242750838071846
0,8,10,0.000008583068848,0.301920729325815
0,9,0,0.000000953674316,0.016425207980893
0,9,1,0.000009536743164,0.032251989465686
0,9,2,0.000042915344238,0.053526170876245
0,9,3,0.000114440917969,0.080418264079641
0,9,4,0.000200271606445,0.113156981091796
0,9,5,0.000240325927734,0.152042620979159
0,9,6,0.000200271606445,0.197467083730634
0,9,7,0.000114440917969,0.249944465878799
0,9,8,0.000042915344238,0.310159612770673
0,9,9,0.000009536743164,0.379049400815134
0,9,10,0.000000953674316,0.457949312691948
1,0,0,0.000000953674316,0.457949312691948
1,0,1,0.000009536743164,0.379049400815132
1,0,2,0.000042915344238,0.310159612770672
1,0,3,0.000114440917969,0.249944465878799
1,0,4,0.000200271606445,0.197467083730634
1,0,5,0.000240325927734,0.152042620979159
1,0,6,0.000200271606445,0.113156981091796
1,0,7,0.000114440917969,0.080418264079642
1,0,8,0.000042915344238,0.053526170876244
1,0,9,0.000009536743164,0.032251989465685
1,0,10,0.000000953674316,0.016425207980893
1,1,0,0.000008583068848,0.301920729325815
1,1,1,0.000085830688477,0.242750838071846
1,1,2,0.000386238098145,0.191218298036900
1,1,3,0.001029968261719,0.146663971833314
1,1,4,0.001802444458008,0.108591786095089
1,1,5,0.002162933349609,0.076623109719510
1,1,6,0.001802444458008,0.050467841310570
1,1,7,0.001029968261719,0.029905425435229
1,1,8,0.000386238098145,0.014772133221345
1,1,9,0.000085830688477,0.004952524838592
1,1,10,0.000008583068848,0.000373873728461
1,2,0,0.000034332275391,0.185085610940536
1,2,1,0.000343322753906,0.141393212589678
1,2,2,0.001544952392578,0.104128208144577
1,2,3,0.004119873046875,0.072924762159704
1,2,4,0.007209777832031,0.047502659235037
1,2,5,0.008651733398438,0.027649291232387
1,2,6,0.007209777832031,0.013207571573416
1,2,7,0.004119873046875,0.004067835462687
1,2,8,0.001544952392578,0.000162586210225
1,2,9,0.000343322753906,0.001463420745450
1,2,10,0.000034332275391,0.007979771411687
1,3,0,0.000080108642578,0.099765551854135
1,3,1,0.000801086425781,0.069322689516989
1,3,2,0.003604888916016,0.044630224394184
1,3,3,0.009613037109375,0.025483296734551
1,3,4,0.016822814941406,0.011731328744139
1,3,5,0.020187377929688,0.003270343973791
1,3,6,0.016822814941406,0.000038024836431
1,3,7,0.009613037109375,0.002010887789883
1,3,8,0.003604888916016,0.009203245104213
1,3,9,0.000801086425781,0.021667835922995
1,3,10,0.000080108642578,0.039498197626491
1,4,0,0.000120162963867,0.041850151782995
1,4,1,0.001201629638672,0.023407164868624
1,4,2,0.005407333374023,0.010343222059525
1,4,3,0.014419555664062,0.002559953690246
1,4,4,0.025234222412109,0.000000174630474
1,4,5,0.030281066894531,0.002645303716499
1,4,6,0.025234222412109,0.010514543569611
1,4,7,0.014419555664062,0.023665728363646
1,4,8,0.005407333374023,0.042197935114358
1,4,9,0.001201629638672,0.066256162786278
1,4,10,0.000120162963867,0.096038661182921
1,5,0,0.000120162963867,0.009043080325774
1,5,1,0.001201629638672,0.001936578640253
1,5,2,0.005407333374023,0.000049031042295
1,5,3,0.014419555664062,0.003366745198294
1,5,4,0.025234222412109,0.011913828084775
1,5,5,0.030281066894531,0.025753252028246
1,5,6,0.025234222412109,0.044989710903120
1,5,7,0.014419555664062,0.069774601538603
1,5,8,0.005407333374023,0.100313756551201
1,5,9,0.001201629638672,0.136879002635341
1,5,10,0.000120162963867,0.179825370673903
1,6,0,0.000080108642578,0.000184599945106
1,6,1,0.000801086425781,0.004175299562875
1,6,2,0.003604888916016,0.013401271293383
1,6,3,0.009613037109375,0.027930672779763
1,6,4,0.016822814941406,0.047873896958888
1,6,5,0.020187377929688,0.073388866003537
1,6,6,0.016822814941406,0.104689185608468
1,6,7,0.009613037109375,0.142056309338608
1,6,8,0.003604888916016,0.185857671533614
1,6,9,0.000801086425781,0.236574219616388
1,6,10,0.000080108642578,0.294843652374281
1,7,0,0.000034332275391,0.014977057336390
1,7,1,0.000343322753906,0.030198269335098
1,7,2,0.001544952392578,0.050850880203490
1,7,3,0.004119873046875,0.077099471862994
1,7,4,0.007209777832031,0.109165623282945
1,7,5,0.008651733398438,0.147340712689458
1,7,6,0.007209777832031,0.192005028697197
1,7,7,0.004119873046875,0.243656890295928
1,7,8,0.001544952392578,0.302958628365093
1,7,9,0.000343322753906,0.370813031157056
1,7,10,0.000034332275391,0.448499870297220
1,8,0,0.000008583068848,0.053921062853148
1,8,1,0.000085830688477,0.080906953388565
1,8,2,0.000386238098145,0.113743767984160
1,8,3,0.001029968261719,0.152733123279802
1,8,4,0.001802444458008,0.198268638760915
1,8,5,0.002162933349609,0.250866754259925
1,8,6,0.001802444458008,0.311215670492715
1,8,7,0.001029968261719,0.380257365870512
1,8,8,0.000386238098145,0.459335709174356
1,8,9,0.000085830688477,0.550493883065027
1,8,10,0.000008583068848,0.657175860349527
1,9,0,0.000000953674316,0.118424342391066
1,9,1,0.000009536743164,0.158234483773962
1,9,2,0.000042915344238,0.204649742609663
1,9,3,0.000114440917969,0.258205476515491
1,9,4,0.000200271606445,0.319617082621290
1,9,5,0.000240325927734,0.389868100256082
1,9,6,0.000200271606445,0.470371173577347
1,9,7,0.000114440917969,0.563296804411869
1,9,8,0.000042915344238,0.672370041198024
1,9,9,0.000009536743164,0.805491254957321
1,9,10,0.000000953674316,1.000000000000527
